,stationid
# Augmented contrails river list including Shintaro research
0,30054
1,30055
2,30039
3,35205017530030
4,35305017530444
5,BATN7
6,30043
7,36420847596740
8,30065
9,30029
10,30052
11,30611
12,30012
13,EWPN7
14,36358367594586
15,35370047744601
16,36003307541599
17,36014387543373
18,30048
19,0209270790
20,MINN7
21,02043433
22,DKBN7
23,EGHN7
24,35150877536048
25,36023447541242
26,0234
27,30008
28,30030
29,JYCN7
30,0208458893
31,0208458892
32,35535547536554
33,WDVN7
34,30001
35,RMLN7
36,30618
37,MSON7
38,30046
39,35560237537176
40,ORLN7
41,0209265820
42,VNCN7
43,JCKN7
44,30040
45,ALIN7
46,0208454270
47,0233
48,CTIN7
49,OCAN7
50,EMWN7
51,BLHN7
52,30041
53,PNGN7
54,30059
55,36183917646588
56,30013
57,35350627527398
58,COLN7
59,30042
60,30002
61,30064
62,30053
63,35130497541232
64,30069
65,SNDN7
66,BYBN7
67,30058
68,35415577546128
69,30612
70,TRAN7
71,30090
72,30015
73,02092576
74,36497857608491
75,36245547586637
76,OTWN7
77,30057
78,02053500
79,02134480
80,02106500
81,30074
82,30116
83,02105769
84,02105500
85,30075
86,0208111310
87,WNRN7
88,30003
89,02084160
90,30050
91,30106
92,30009
93,30102
94,02091500
95,GTNN7
96,02090380
97,02090504
98,30011
99,LGTN7
100,02083000
101,30619
102,30602
103,30016
104,WSNN7
105,HSWN7
106,30121
107,30117
108,30129
109,30010
110,30118
111,02082950
112,02088500
113,30031
114,30601
115,02134500
116,0043
117,02134170
118,FBLN7
119,30620
120,30115
121,30088
122,02091000
123,30094
124,02108000
125,30607
126,02089500
127,02091814
128,02089000
129,30060
130,02093000
131,NWPN7
132,02108566
133,30092
134,30062
135,36259667578780
136,02084472
137,30119
138,0204382800
139,02053200
140,0208114150
141,0208062765
142,02081028
143,02081094
144,02080500
145,02081054
146,02081022
147,02081000
148,30605
149,30076
150,30604
151,WHSN7
152,30061
153,30017
154,LEGN7
155,30089
156,02082770
157,0209205053
158,02084000
159,02082585
160,GRMN7
161,02083500
162,GBYN7
163,30613
164,36481807613188
165,TOWN7
166,02092500
167,02092554
168,TRTN7
169,02084557
170,30087
171,02109500
172,30007
173,8651370
174,8658163
175,8656483
176,8658120
177,8652587
178,8654467
179,8650249
180,30033
186,30032
198,STYN7
199,STON7
200,RMBN7
203,30006
